Collections,Sales,Buyers,Txns,Owners
TheHeartProject,"$37,572,972","11,350","23,349","5,776"
Rug Radio - Genesis NFT,"$37,435,160","18,306","31,437",
Degen Toonz,"$36,841,743","8,949","21,928",
Blitmap,"$36,505,860",459,"1,029",629
Farming Tales,"$36,379,108","10,151","173,853","5,515"
SolPunks,"$36,374,196","8,199","18,314","4,853"
MetaHero Universe DAO Tokens,"$36,370,944","7,822","21,534",1
GEN.ART,"$35,646,394","4,494","8,238",
OnChainMonkey,"$35,556,615","6,068","17,909",
GENART,"$35,500,702","4,130","7,546","2,366"
Bored Bunny,"$35,421,116","8,145","12,612",
Decentral Ice Poker,"$35,147,423","2,673","8,416",738
Metasaurs by Dr. DMT,"$34,567,566","7,734","16,200","4,942"
Bloot,"$34,228,195","6,526","15,395","3,898"
Portals,"$33,931,662","4,820","9,465","2,951"
Akuma,"$33,791,842","5,589","13,981",
Tasty Bones,"$32,718,586","5,666","9,134",
Animetas,"$32,569,385","7,053","19,228","4,067"
More Than Gamers,"$32,469,829","15,075","25,668",
Thug Birdz,"$32,029,890","3,905","7,598","2,213"
Crypto Unicorns,"$31,781,647","3,482","25,629",
ALPACADABRAZ,"$31,427,788","7,670","15,490","4,475"
WonderPals,"$31,122,253","15,358","22,725",
Tom Sachs Rocket Factory,"$30,943,557",805,"2,768",199
MoodRollers,"$30,709,440","7,904","14,961",
EveraiDuo,"$30,397,955","9,597","20,607",
NFL All Day,"$30,347,200","33,459","645,075","91,122"
Edenhorde,"$30,318,695","4,588","13,494",
Nifty League DEGENs,"$30,079,681","8,625","24,543",
Creepz Shapeshifters,"$29,990,995","2,943","12,196",
CryptoJanky,"$29,878,451","9,277","17,652",
Party Ape Billionaire Club,"$29,823,574","6,411","13,734","4,499"
SlimHoods,"$29,620,273","8,255","14,782",
Winter Bears,"$29,425,766","10,350","22,698","4,639"
VOX Series 2,"$29,354,914","1,193","2,287",
Janky Heist,"$29,239,189","9,187","17,021","5,822"
Shinsekai,"$29,156,706","9,037","20,983",
Dour Darcels,"$28,894,932","9,349","21,396",
Antonym,"$28,140,654","10,687","18,455",
EightBit,"$27,849,583","7,370","18,923",
The Art of Seasons,"$27,708,191","7,978","18,247",
Candy Digital NFT,"$27,656,847","27,450","403,892",
Meerkat Millionaires Country Club,"$27,381,764","7,991","16,030","4,393"
Slotie,"$27,350,338","5,353","12,469",
BAPETAVERSE,"$26,825,881","4,273","9,609",
Galaxy Fight Club,"$26,578,826","5,098","17,905","2,709"
Gutter Juice,"$26,518,100","9,002","27,029",
X Rabbits Club,"$25,965,049","4,082","9,232","3,117"
Reptile Armoury,"$25,222,708","3,672","14,189",
LinksDAO,"$25,037,948","8,600","12,723",
